ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
12.38.196.jdj,03-01-03,14:38:26,500,894490,0001021408-02-008917,.txt,200,32998,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:38:33,500,9892,0000009892-02-000016,.txt,200,59280,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:53:55,500,18926,0000018926-02-000013,.txt,200,27080,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:54:07,500,873364,0000950168-02-001796,.txt,200,34831,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:54:19,500,215403,0000950152-02-005111,.txt,200,253830,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:54:26,500,1058438,0001065407-02-000257,.txt,200,23171,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:54:32,500,814068,9999999997-02-035512,.txt,200,1691,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:54:37,500,777491,0000777491-02-000048,.txt,200,61194,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:54:45,500,820757,0000912057-02-022706,.txt,200,62680,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:54:49,500,949341,0000950152-02-005169,.txt,200,28317,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:54:56,500,911215,0000899681-02-000223,.txt,200,18341,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:55:02,500,911215,0000899681-01-500153,.txt,200,30276,0,0,0,10,0,win
12.38.196.jdj,03-01-03,14:55:17,500,1026601,0000950134-02-007824,.txt,200,35478,0,0,0,10,0,win
12.38.196.jdj,03-01-03,15:36:41,500,928658,0001008886-02-000037,.txt,200,27497,0,0,0,10,0,win
12.38.196.jdj,03-01-03,15:36:47,500,1054833,0001054833-01-500020,.txt,200,53135,0,0,0,10,0,win
12.38.196.jdj,03-01-03,15:36:52,500,1018522,0000950168-02-000732,.txt,200,50960,0,0,0,10,0,win
12.38.196.jdj,03-01-03,15:37:04,500,849395,9999999997-02-035463,.txt,200,1449,0,0,0,10,0,win
12.38.196.jdj,03-01-03,15:37:08,500,847322,0000847322-02-000014,.txt,200,26436,0,0,0,10,0,win
12.38.196.jdj,03-01-03,15:37:13,500,1091862,0001091862-02-000016,.txt,200,35813,0,0,0,10,0,win
12.38.196.jdj,03-01-03,15:37:24,500,25895,0000950134-02-007672,.txt,200,9498,0,0,0,10,0,win
12.38.196.jdj,03-01-03,15:37:29,500,1051848,0000950153-02-001179,.txt,200,122476,0,0,0,10,0,win
12.38.196.jdj,03-01-03,16:27:00,500,703559,0000927796-01-500035,.txt,200,37903,0,0,0,10,0,win
12.38.196.jdj,03-01-03,16:27:06,500,703559,0000927796-00-000101,.txt,200,34226,0,0,0,10,0,win
12.38.196.jdj,03-01-03,16:27:22,500,728535,0000950134-02-007737,.txt,200,154310,0,0,0,10,0,win
12.38.196.jdj,03-01-03,16:27:26,500,728535,0000912057-01-521842,.txt,200,44644,0,0,0,10,0,win
